Ano notificação,Coluna,Valor,Índice
2017,12. Dez,291,48
2017,11. Nov,208,47
2017,10. Out,212,46
2017,9. Set,187,45
2017,8. Ago,260,44
2017,7. Jul,272,43
2017,6. Jun,481,42
2017,5. Mai,759,41
2017,4. Abr,814,40
2017,3. Mar,1315,39
2017,2. Fev,744,38
2017,1. Jan,1189,37
2016,12. Dez,1976,36
2016,11. Nov,612,35
2016,10. Out,342,34
2016,9. Set,306,33
2016,8. Ago,353,32
2016,7. Jul,399,31
2016,6. Jun,621,30
2016,5. Mai,1682,29
2016,4. Abr,5824,28
2016,3. Mar,9590,27
2016,2. Fev,10839,26
2016,1. Jan,10833,25
2015,12. Dez,6092,24
2015,11. Nov,4345,23
2015,10. Out,3680,22
2015,9. Set,2486,21
2015,8. Ago,2695,20
2015,7. Jul,2833,19
2015,6. Jun,3630,18
2015,5. Mai,4179,17
2015,4. Abr,2552,16
2015,3. Mar,1361,15
2015,2. Fev,643,14
2015,1. Jan,944,13
2014,12. Dez,769,12
2014,11. Nov,641,11
2014,10. Out,553,10
2014,9. Set,819,9
2014,8. Ago,928,8
2014,7. Jul,1350,7
2014,6. Jun,1932,6
2014,5. Mai,2486,5
2014,4. Abr,2522,4
2014,3. Mar,2325,3
2014,2. Fev,2052,2
2014,1. Jan,2755,1
2013,12. Dez,105,0
